#clients:add user as client
#name,email,pwd,nif,creditCardNumber,creditCardMonthExpiration,creditCardNumberYearExpiration,ccv,latitude,longitude,street,doorNum,zipcode,locality,altitude   
centro comercial plaza;ricardo.antonino.pereira@gmail.com;qwerty;111111111;1111111111111111;08;2023;111;41.23238282053131;-8.620429576996159;Rua duarte Pacheco;1;4470;Maia;0
mar shopping;c2@isep.ipp.pt;qwerty;111111112;1111111111111112;08;2023;112;41.20962859351864;-8.686988746034636;Avenida Oscar Lopes;2;4450;Leca Palmeira;0
centro comercial new city;c3@isep.ipp.pt;qwerty;111111113;1111111111111113;08;2023;113;41.18168030467089;-8.691953146902952;Av. Serpa Pinto;3;4450;Matosinhos;0
centro comercial parque;c4@isep.ipp.pt;qwerty;111111114;1111111111111114;08;2023;114;41.18446949378376;-8.682078569574953;Rua de Alfredo Cunha;4;4450;Matosinhos;0
norte shopping;c5@isep.ipp.pt;qwerty;111111115;1111111111111115;08;2023;115;41.18040758869891;-8.654235046952822;R. Sara Afonso;5;4460;sra da hora;0
estacao dos correios de pereiro;c6@isep.ipp.pt;qwerty;111111116;1111111111111116;08;2023;116;41.17311635735133;-8.65459584722389;Praça Afrânio Peixoto;6;4100;Porto;0
centro comercial do carvalho;c7@isep.ipp.pt;qwerty;111111117;1111111111111117;08;2023;117;41.16813335803367;-8.630174670123719;Rua do Lugarinho;7;4250;Porto;0
shopping brasilia;c8@isep.ipp.pt;qwerty;111111118;1111111111111118;08;2023;118;41.15796340827872;-8.627537747717188;Praça de Mouzinho de Albuquerque;8;4100;Porto;0
correios ctt campo alegre;c9@isep.ipp.pt;qwerty;111111119;1111111111111119;08;2023;119;41.1532467552498;-8.630944670616714;Rua do Campo Alegre;9;4150;Porto;0
arrabida shopping;c10@isep.ipp.pt;qwerty;111111110;1111111111111110;08;2023;110;41.14157056512822;-8.636455570979876;Praceta de Henrique Moreira;10;4400;Gaia;0
centro comercial de cedofeita;c11@isep.ipp.pt;qwerty;111111121;1111111111111121;08;2023;121;41.154639038055954;-8.618861725062573;R. de Cedofeita;11;4050;Porto;0
shop;c12@isep.ipp.pt;qwerty;111111122;1111111111111122;08;2023;122;41.14882772536189;-8.615490548022942;Praça de Carlos Alberto;12;4050;Porto;0
praceta salvador caetano;c13@isep.ipp.pt;qwerty;111111123;1111111111111123;08;2023;123;41.13336196717216;-8.608201671255364;R. Jau;13;4430;Porto;0
tradicional shopping street;c14@isep.ipp.pt;qwerty;111111124;1111111111111124;08;2023;124;41.15365214010048;-8.604302625094684;Rua de Santa Catarina;14;4000;Porto;0
espiral colossal;c15@isep.ipp.pt;qwerty;111111125;1111111111111125;08;2023;125;41.144017803092666;-8.603052525416642;R. de Alexandre Herculano;15;4000;Porto;0
centro comercial stop;c16@isep.ipp.pt;qwerty;111111126;1111111111111126;08;2023;126;41.14623805545945;-8.59446424808199;Rua do Heroísmo;16;4300;Porto;0
ctt;c17@isep.ipp.pt;qwerty;111111127;1111111111111127;08;2023;127;41.1720229682431;-8.612759070005488;Praça ve De Abril;17;4200;Porto;0
fishisco;c18@isep.ipp.pt;qwerty;111111128;1111111111111128;08;2023;128;41.14464819930141;-8.574537125396123;Rua Faia;18;4300;Porto;0
alameda shopispot;c19@isep.ipp.pt;qwerty;111111129;1111111111111129;08;2023;129;41.16362695474598;-8.583861447507594;R. Bairro do Comercio do Porto;19;4350;Porto;0
posto correio de conde ferreira;c20@isep.ipp.pt;qwerty;111111130;1111111111111130;08;2023;130;41.17114310386333;-8.587792947271303;R. das Merces;20;4200;Porto;0
tecofix;c21@isep.ipp.pt;qwerty;111111131;1111111111111131;08;2023;131;41.15394799660785;-8.54703207323988;R. Pedro Jose Ferreira;21;4510;Porto;0
posto correios forno;c22@isep.ipp.pt;qwerty;111111132;1111111111111132;08;2023;132;41.19248080879635;-8.575549246568027;Urbanização Maos a Obra;22;4510;Porto;0
centro de distribuicao correios ermesinde;c23@isep.ipp.pt;qwerty;111111133;1111111111111133;08;2023;133;41.20297754834544;-8.544969268988925;Rua das Macieiras;23;4510;Porto;0
post office valongo;c24@isep.ipp.pt;qwerty;111111134;1111111111111134;08;2023;134;41.1897880432883;-8.497197146647316;Avenida 5 de Outubro;24;4510;Porto;0
